ORBIT NUMBER  PERIGEE TIME             PERIGEE R_GSM     PERIGEE X_GSM        PERIGEE Y_GSM        PERIGEE Z_GSM        APOGEE TIME              APOGEE R_GSM      APOGEE X_GSM         APOGEE Y_GSM         APOGEE Z_GSM         
50            2015-10-20T23:25:24.227  7738.95947265625  -6096.81396484375    -4747.2734375        428.656494140625     2015-10-20T11:28:54.227  76484.4140625     59356.22265625       48043.609375         -4303.07958984375    
51            2015-10-21T23:18:54.227  7742.62841796875  -6111.5166015625     -4732.96484375       443.5144958496094    2015-10-21T11:22:24.227  76478.6328125     60104.44921875       47090.49609375       -4349.923828125      
52            2015-10-22T23:11:54.227  7743.4853515625   -6280.84228515625    -4508.33154296875    433.0544128417969    2015-10-22T11:15:24.227  76475.859375      60860.31640625       46100.72265625       -4393.4150390625     
53            2015-10-23T23:05:24.227  7738.8759765625   -6269.1298828125     -4515.01953125       450.3453369140625    2015-10-23T11:08:54.227  76477.546875      61587.921875         45122.453125         -4439.251953125      
54            2015-10-24T22:58:54.226  7731.1943359375   -6265.9326171875     -4504.7705078125     465.2869567871094    2015-10-24T11:01:54.227  76484.0078125     62320.3984375        44112.16796875       -4482.0361328125     
55            2015-10-25T22:51:54.226  7720.29443359375  -6446.193359375      -4224.62060546875    449.57720947265625   2015-10-25T10:55:24.226  76494.3125        63021.4765625        43118.16015625       -4527.4482421875     
56            2015-10-26T22:45:24.205  7708.654296875    -6484.73779296875    -4142.84130859375    456.49920654296875   2015-10-26T10:48:54.226  76506.5625        63705.98828125       42117.58203125       -4572.84228515625    
57            2015-10-27T22:38:54.205  7698.44482421875  -6545.41357421875    -4026.4580078125     459.6209411621094    2015-10-27T10:42:24.205  76518.4765625     64371.81640625       41109.83984375       -4618.25146484375    
58            2015-10-28T22:32:24.205  7691.10791015625  -6620.95849609375    -3886.40380859375    460.3420715332031    2015-10-28T10:35:54.205  76528.0625        65017.79296875       40093.40625          -4663.6201171875     
59            2015-10-29T22:26:24.205  7687.1298828125   -6554.06494140625    -3987.451904296875   486.22979736328125   2015-10-29T10:29:24.205  76534.1484375     65643.796875         39066.54296875       -4708.8330078125     
60            2015-10-30T22:19:54.205  7685.93017578125  -6635.65185546875    -3847.66552734375    486.9470520019531    2015-10-30T10:22:54.205  76536.484375      66250.5              38027.69921875       -4753.759765625      
61            2015-10-31T22:13:24.205  7687.4189453125   -6706.79736328125    -3724.989501953125   489.62139892578125   2015-10-31T10:16:24.205  76535.6171875     66838.96875          36976.05859375       -4798.2939453125     
